FirstName	LastName	Company	Job Title	E-Mail Address
Alboni	Ezio	A. Datum Corporation	Chief Executive Officer	ezio@adatum.com
Dehenne	Denis	A. Datum Corporation	Planning & Design Manager	denis@adatum.com
Faerch	Sten	A. Datum Corporation	Sales & Customer Service Manager	sten@adatum.com
Flood	Kathie	A. Datum Corporation	Customer Representative	kathie@adatum.com
Gottfried	Jenny	A. Datum Corporation	Course Designer	jenny@adatum.com
Masters	Steve	A. Datum Corporation	Marketing Manager	steve@adatum.com
North	Mary	A. Datum Corporation	Content Development Manager	mary@adatum.com
Olecka	Aneta	A. Datum Corporation	Marketing Associate	aneta@adatum.com
Ovesen	Michael	A. Datum Corporation	Customer Representative	michael@adatum.com
Peng	Yun-Feng	A. Datum Corporation	Course Designer	yun-feng@adatum.com
Rivas	Gretchen	A. Datum Corporation	Content Developer	gretchen@adatum.com
Uttecht	Robert	A. Datum Corporation	Content Developer	robert@adatum.com
Ahs	David	Adventure Works	Sales Assistant	david@adventure-works.com
Corets	Eva	Adventure Works	Manager	eva@adventure-works.com
Delaney	Aidan	Adventure Works	Sales Assistant	aidan@adventure-works.com
Smith	Denise	Adventure Works	Owner/Operator	denise@adventure-works.com
Smith	Jeff	Adventure Works	Owner/Operator	jeff@adventure-works.com
Thorell	Iben	Adventure Works	Assistant Manager	iben@adventure-works.com
Wheeler	Wendy	Adventure Works	Sales Assistant	wendy@adventure-works.com
Adams	Terry	Consolidated Messenger	Human Resources Director	terry@consolidatedmessenger.com
Carter	Adam	Consolidated Messenger	President	adam@consolidatedmessenger.com
Carey	Richard	Consolidated Messenger	Personnel Manager	richard@consolidatedmessenger.com
Freehafer	Nancy	Consolidated Messenger	Sales & Marketing Manager	nancy@consolidatedmessenger.com
Gabel	Ron	Consolidated Messenger	Warehouse Manager	ron@consolidatedmessenger.com
Hance	Jim	Consolidated Messenger	Packager	jim@consolidatedmessenger.com
Kelly	Bob	Consolidated Messenger	Delivery Driver	bob@consolidatedmessenger.com
Lysaker	Jenny	Consolidated Messenger	Delivery Driver	jenny@consolidatedmessenger.com
